,# of bumps,# of inflections,curvature,min i,max i,x min,x max,y min,y max,S,criticality
3698,1,0,0.10597937112015858,49,58,4.804021044733257,5.332718793265369,-10.282950829076206,-8.856743977818901,1.0652972197525443,2
3699,2,0,-2.759181402630828,47,44,4.418840607796598,4.2626798770413155,-13.503529599845947,-12.117235238726057,1.0525385189451506,1
3700,0,0,0.504094712053774,28,46,3.4657359027997265,4.343805421853684,-10.465305675455319,-4.866883716456943,1.0580584415708587,3
3701,1,0,8.973962651063509,28,44,3.4339872044851463,4.174387269895637,-8.065222353285426,-5.132010436712769,1.0476931186797307,3
3702,0,0,6.644527316599652,46,53,4.382026634673881,4.736198448394496,-11.340595539449552,-5.09707609753294,1.0735615193171655,3
3703,0,0,-4.32605358809516,52,60,5.093750200806762,5.58724865840025,-13.607407579838155,-8.098525444182767,1.0844645601371767,3
3704,0,0,6.63891118623489,13,0,2.6390573296152584,0.0,-9.095939111666207,-0.04096682692372168,1.1315380643768156,1
3705,2,0,-2.450055476129725,14,0,2.70805020110221,0.0,-10.75301863171864,-0.29054406030950264,1.048847164826531,1
3706,0,0,-3.0316575592191124,35,35,3.58351893845611,3.58351893845611,-10.939337519467923,-10.939337519467923,1.0443820691072527,1
3707,0,0,0.8452578540493362,-1,-1,5.746203190540153,5.746203190540153,-13.357667727455603,-13.357667727455603,1.0764697409971333,1
3708,1,0,8.975770337441652,55,52,4.02535169073515,3.970291913552122,-10.043249494911286,-8.944637206243177,1.0357961398057436,3
3709,1,0,-32.64662491327129,38,53,3.9512437185814275,4.700480365792417,-10.82144289817172,-4.9092921577834625,1.0921405478450539,3
3710,0,0,0.7565859783100107,-1,-1,3.6635616461296463,3.6635616461296463,-10.216032954712599,-10.216032954712599,1.0410326390556794,1
3711,0,0,28.26017012091144,53,59,5.0238805208462765,5.375278407684165,-12.814973695275917,-6.8547616916720395,1.096717416104257,3
3712,1,0,-1.7468629121061563,57,57,5.062595033026967,5.062595033026967,-13.714597605472301,-13.714597605472301,1.0592095320926909,1
3713,0,0,-0.005545303371524701,27,0,3.332204510175204,0.0,-10.72980981224849,-0.08815391350489603,1.1769578327213353,1
3714,3,0,-15.513308841347143,27,45,3.4011973816621555,4.30406509320417,-9.103413815902114,-5.2939773992490675,1.0501273938138695,3
3715,1,0,14.167236142922103,52,56,4.875197323201151,5.099866427824199,-12.04429190755427,-5.851475079134735,1.1032760500735619,3
3716,0,0,5.543910422384977,35,41,3.828641396489095,4.110873864173311,-7.417336795834627,-6.967598864048474,1.050260713788803,3
